Polí­gono,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0,12.09338662,9.219544457,6.5,6.5,17.44276354,21.56965461,18.30983342,16.55294536,15.20690633,15.20690633,17.66465397,27.7353565,23.1354706,21.1483,27.11549373,27.65863337,30.10398645,31.53173005,34.73110997,33.32041416,31.95309062,31.67412193,31.06444913,37.3965239,43.41082814,41.38236339,40.20572099,39.08004606,36.9121,22.94013949
2,12.09338662,0,3.5,8,13,5.385164807,10.2956,9,9.656603958,12.04159458,15.8113883,18.84383188,17.72004515,18.78829423,19.84943324,28.31960452,26.70674072,27.29468813,33.30165161,25,24.33105012,24.00520777,25.3179778,26.40549185,39.28422075,45.67548577,32.2684056,31.75295262,31.503968,30.90711892,16.4924225
3,9.219544457,3.5,0,4.5,9.5,8.7321,12.3794184,9.656603958,9,10.0623059,13.0863,16.13195586,19.00657781,17.5855054,17.7552809,25.83118271,24.69817807,25.811819,30.76117683,26.19637379,25.14458192,24.33105012,25.0049995,25.49509757,36.7763511,43.1335,33.20391543,32.38054972,31.75295262,30.53686297,16.00781059
4,6.5,8,4.5,0,5,13.15294644,15.8113883,12.04159458,10.0623059,9,10.2956,13.2018938,21.40093456,17,15.8113883,23.02172887,22.65502152,24.51530134,27.80287755,28.3019434,26.83281573,25.46075411,25.3179778,25.0049995,33.81198013,40.07804885,34.88911005,33.70830758,32.6266762,30.64718584,16.4924225
5,6.5,13,9.5,5,0,18.11077028,20.1246118,15.8113883,13.0863,10.2956,9,11.23788236,24.75883681,17.72004515,15,20.61552813,21.28966886,24,25.05992817,31.2409987,29.41088234,27.53633963,26.57066051,25.40177159,30.95561338,37.03039292,37.31286641,35.79455266,34.27097898,31.53173005,18.35755975
6,17.44276354,5.385164807,8.7321,13.15294644,18.11077028,0,7,8.602325267,11.01135777,14.7648,19.31320792,22.20562992,15,19.84943324,22.20360331,31.06444913,28.69233347,28.42534081,36.05551275,22.09072203,22.02271555,22.45551157,24.69817807,26.66927071,41.90763654,48.30372656,29.56771888,29.51694429,29.84124662,30.20347662,16.64331698
7,21.56965461,10.2956,12.3794184,15.8113883,20.1246118,7,0,5,8.5,13,18,20.39828424,8,15.26433752,18.97366596,27.85677655,24.6221445,23.43074903,32.69556545,15.13274595,15.03329638,15.66045976,18.35755975,20.93442142,38.23937761,44.53369511,22.588714,22.52221126,22.94558781,23.7118114,11.40175425
8,18.30983342,9,9.656603958,12.04159458,15.8113883,8.602325267,5,0,3.5,8,13,15.43016526,9.433981132,11.3137085,14.31782106,23.2594067,20.40220576,19.84943324,28.17800561,16.55294536,15.5241747,15.00833102,16.4924225,18.11767093,33.8711,40.22747817,23.56374334,22.85278976,22.5056,22.07374005,8.0623
9,16.55294536,9.656603958,9,10.0623059,13.0863,11.01135777,8.5,3.5,0,4.5,9.5,11.96829144,11.67261753,9.1788,11.23610253,20.15564437,17.69180601,17.7552809,25.12468905,18.30983342,16.77050983,15.5241747,16.00781059,16.76305461,30.92733419,37.31621631,24.82941804,23.71708245,22.85278976,21.55226206,7.017834424
10,15.20690633,12.04159458,10.0623059,9,10.2956,14.7648,13,8,4.5,0,5,7.569015788,15.26433752,8,7.810249676,16.40121947,14.70544117,15.8113883,21.40093456,21.21320344,19.20937271,17.24093965,16.4924225,16.00781059,27.33587387,33.73796082,27.04163457,25.5,24.05202694,21.70829335,8.0623
11,15.20690633,15.8113883,13.0863,10.2956,9,19.31320792,18,13,9.5,5,0,3.047950131,19.6977156,9.433981132,6,12.80624847,12.5,15,17.69180601,25,22.6715681,20.18043607,18.35755975,16.62077014,23.7118114,30.05411785,30.10398645,28.2001773,26.23928353,22.94013949,11.40175425
12,17.66465397,18.84383188,16.13195586,13.2018938,11.23788236,22.20562992,20.39828424,15.43016526,11.96829144,7.569015788,3.047950131,0,21.16813643,9.449338601,4.614108798,9.822932352,10.07174265,13.2018938,14.66594695,25.81259383,23.26993769,20.46069403,17.99138683,15.56406117,20.68671071,27.0174018,30.29092273,28.15563887,25.88223329,22.05311769,12.35677952
13,27.7353565,17.72004515,19.00657781,21.40093456,24.75883681,15,8,9.433981132,11.67261753,15.26433752,19.6977156,21.16813643,0,13,18.11077028,26.07680962,21.86892773,19.31320792,30.4138,7.280109889,7.071067812,8.3217,12.04159458,15.69235483,35.30226622,41.27044948,14.63728117,14.53444185,15.18222645,16.80029762,9.055385138
14,23.1354706,18.78829423,17.5855054,17,17.72004515,19.84943324,15.26433752,11.3137085,9.1788,8,9.433981132,9.449338601,13,0,5.385164807,13.15294644,9.394147114,8.602325267,17.72004515,16.55294536,13.89244399,11.01135777,8.9443,8.0156,23.04886114,29.29590415,20.86264605,18.82153022,16.80773631,13.82931669,4.123105626
15,21.1483,19.84943324,17.7552809,15.8113883,15,22.20360331,18.97366596,14.31782106,11.23610253,7.810249676,6,4.614108798,18.11077028,5.385164807,0,8.9443,6.946221995,9,13.89244399,21.9317122,19.23538406,16.22498074,13.45362405,10.9658561,19.7040605,26.10076627,25.92778432,23.69071548,21.31900561,17.44276354,9.055385138
16,27.11549373,28.31960452,25.83118271,23.02172887,20.61552813,31.06444913,27.85677655,23.2594067,20.15564437,16.40121947,12.80624847,9.822932352,26.07680962,13.15294644,8.9443,0,4.924428901,9.433981132,5,28.44292531,25.49509757,22.07374005,18.02775638,13.86542462,10.9658561,17.35655496,30.66349621,27.95084972,24.86966023,19.7040605,17.2626765
17,27.65863337,26.70674072,24.69817807,22.65502152,21.28966886,28.69233347,24.6221445,20.40220576,17.69180601,14.70544117,12.5,10.07174265,21.86892773,9.394147114,6.946221995,4.924428901,0,4.609772229,8.558621384,23.69071548,20.71834936,17.2626765,13.12440475,8.9443,13.65650028,19.91230775,25.73907535,23.03258561,19.9812412,14.91643389,13.46291202
18,30.10398645,27.29468813,25.811819,24.51530134,24,28.42534081,23.43074903,19.84943324,17.7552809,15.8113883,15,13.2018938,19.31320792,8.602325267,9,9.433981132,4.609772229,0,12.16552506,20,17,13.5,9.055385138,4.609772229,16.19413474,21.98294794,21.36000936,18.58090418,15.44344521,10.30776406,12.04159458
19,31.53173005,33.30165161,30.76117683,27.80287755,25.05992817,36.05551275,32.69556545,28.17800561,25.12468905,21.40093456,17.69180601,14.66594695,30.4138,17.72004515,13.89244399,5,8.558621384,12.16552506,0,32.0624,29.06888371,25.57831112,21.21320344,16.77050983,6.020797289,12.3794184,33.38038346,30.51638904,27.21212965,21.73131381,21.84032967
20,34.73110997,25,26.19637379,28.3019434,31.2409987,22.09072203,15.13274595,16.55294536,18.30983342,21.21320344,25,25.81259383,7.280109889,16.55294536,21.9317122,28.44292531,23.69071548,20,32.0624,0,3,6.5,11.04536102,15.53222457,36.08670115,41.51204644,7.5,8.077747211,9.924716621,13.64734406,13.60147051
21,33.32041416,24.33105012,25.14458192,26.83281573,29.41088234,22.02271555,15.03329638,15.5241747,16.77050983,19.20937271,22.6715681,23.26993769,7.071067812,13.89244399,19.23538406,25.49509757,20.71834936,17,29.06888371,3,0,3.5,8.0623,12.5399362,33.09456149,38.55191305,8.077747211,7.5,8.276472679,11.10180166,11.3137085
22,31.95309062,24.00520777,24.33105012,25.46075411,27.53633963,22.45551157,15.66045976,15.00833102,15.5241747,17.24093965,20.18043607,20.46069403,8.3217,11.01135777,16.22498074,22.07374005,17.2626765,13.5,25.57831112,6.5,3.5,0,4.609772229,9.055385138,29.60574269,35.10697936,9.924716621,8.276472679,7.5,8.514693183,9.1788
